sitting_id,started_at,block_idx,provider_actual,assignment_bit,subject_gets_first_half,hits,demon_hits,n,bits
pv_1787113000691_bdb2aa,2026-08-19T04:16:40.691Z,0,outshift,0,false,68,77,150,0110110001110101010111000110000000101101001111111010000011011101000011001110011000000111101111000101011011001110000001100110011010111110110001110100101100100110110001100000010010010010001000111110100011111100110100011001101000011101110001111100001101010010001101000011110000001001010101110011110010000
pv_1787113000691_bdb2aa,2026-08-19T04:16:40.691Z,1,lfdr,1,true,77,82,150,1001100010111011001001111001000001011101010001000011010111101100001111110100110011110011111001001011011011001011000100001101010101001000011010110110111100011100011111100011100101110100100001101011001101110000011010101110101001100010110011011100001111111011111011011111110110011011010100001011000010100
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,0,lfdr,0,false,81,83,150,0000111100110010110010001110001100111110100001001010000111110111111100100000110111101101000111011101100110111000111111110010110100010001100101111011101101010100101100100000110011011001111001111101001010011011101000010011111111010011110101011111010110011000101001010000110010111110000100011100011111011
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,1,outshift,1,true,84,72,150,1000100011111111001100101111100011011011100111000011101111101111110110111101010101110010001010101101111010001000101000111010000101111100101010101100010110011100111110111111000010101010100000010010001001001101110000011111100001100000001111110000011111011011001010101101111100000100010000011001000111010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,2,lfdr,1,true,81,79,150,1100010010101110001000111100011010010000011010101101011011011110001011111110010101001101111111000100110010110011101111001011011000011100101100011011110010111000111100001001101000100111101111001101001100110011101101011100011011000111101000010010111001110011111001010111101100100000111010100100110100101
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,3,outshift,0,false,67,70,150,0001001001001001101110000001011101011011001111111010101000100101001010010001001111100000110011001010111000100000010111110100101101101101010101001000001011011001000101100000000100010110100110111001100000010110111110000000100000110100111110111111000001111011001000000001110011110010001100010110100010101
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,4,lfdr,1,true,71,73,150,1010000101101011011000100100110001101010001110010101100100100001101100110110000100100100110100011100001011000000111111111011000010001011111001011101011101111001011110000000110101000110101101111010110101111110000010011011001100100001110000001111110010011010010011010010011011101100000010101101000000101
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,5,lfdr,0,false,77,68,150,0001001010110011000100011011111001011001011001000000110010001011100001010100101011001001000000011111101110000011000010000111110010101111001100111100001111101101000110011111001101011111011000100001001010001100010100001100111011111010111001010001010000101001110001101001001100000111110111010100111111000
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,6,lfdr,0,false,87,81,150,0001111110110110011100000011011111100110001111101110111111011101001100010100001000110010110100011111110001011000100110010101010011100111000101011010010101001000110110111010000111000101111010111111010111101000011110101101100100010000011110001111011001100111111001111011001111111101111001011100100101010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,7,lfdr,0,false,79,76,150,0000010000110111101111011000000100110011010011000100100001101000100011000000111110101001111100101011111001111001001000110101111110011110110111001100101010011110001101100010101011111110110100100010110000101100110110001001110100101111011000010011000100110111111101100011011110011010001010111001001001110
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,8,outshift,0,false,72,76,150,0001101001010001001010000011001101011110000110101010101111111101001001100000000110011101011011101001011101111000101101101100010000111101011110010001110111100001101101000010010101001100011111101011100011110101101011010011101011001101101100011111000110000101000010101111111000010101000110000000000000010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,9,lfdr,1,true,83,68,150,1111111010001011110000110100111001011101110111001010110000011011011111011001101100001110001000101011101101100101001111101010110011110011001001101001001001010010000000101100010110000001111110110010010000000100011101100101010110000000000001011111011010011100010010111000001110110011111011011110111110000
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,10,outshift,0,false,73,76,150,0100111001111010000001101000100000101010011100010101001110101001110000100011101001010111110100110011101111010111001101110111001010110001101011100000011101000100010011111110111100110110100001001100000001101100110101110000111010101011100010101111001001111100100100111101001001000001011010000010010001111
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,11,lfdr,0,false,63,72,150,0000111110100101000011101000011110010001010000001010110100001111000100101101101111110010110001100000101110110011111000001011101100001101000100001110111101000001010001100001111001111101000011100011000001001101111010011101100000110000110001100010000110100100101000010100011111100011011000000000010011001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,12,outshift,1,true,75,77,150,1100101001101001101011001001001010111010111010000011101010110100001101001111111000000100101110000001111010000110110111110110100011010010110001110010011111000011101011000011011000001111111100000010001111101111111101011110100010001100001000001111101010010000010101011101101000010010111111100110010010101
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,13,outshift,1,true,80,67,150,1011111010001101110010100101010110111011101101011001001000111111101010100111101000000110101000110001000000011111110101111100111100110100000110111000110101011000101111010010000001010001011001001101011111100000000110110101011111110010011101010100000100000101110001010110001100100010000001010011110001010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,14,outshift,0,false,82,72,150,0101110011011001111110010110010111010100111000000101100000001010001011001000101000110001001000010001101011011011101011110000111011110011110111000000100111111111011000000000100011010100111111101111110011000011001011101101010010111001100011001010111110011100011110001001011011101011101010111010000001001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,15,lfdr,1,true,83,71,150,1010110010001010101001011000001111110101010110101111100100111111011110110001011101110111011100011011101001100101111011010000100010101111100111000001100000101001000011111111100001011010100001001001010010101100111111110001011100111101000001000010110110100101001000100010111000011101101001001101010111000
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,16,lfdr,0,false,72,76,150,0011110001111011011011011111011110000001100010111111000111010101000111110001110100001001001010011101010001010001010010110010110100101001101100101000001011011110010101001111111101100001101000100101001011110000100000011010000101000101100101101011001000011011001111011000110101101011010100001111001000010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,17,outshift,1,true,87,74,150,1111010111101011101001101110000111011111100101111000101110001000101011000101111010001100001101110010111111111011001001011100101100111011001000111011011110111010010010101010111011001100011111010110000100111000010111010011110111111100010001001110000011100101010001111100110101000010000000011110000100101
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,18,outshift,1,true,80,74,150,1111011111010000001110001010111010100001010001011110011111000001110000100101010001111111110110110100011101111010100011001000111101010011101000111110010100111110001010111001101001011111011100100010000010110011110010001000100010011100000100101000000101110100011110011010011111011110001111011000001111001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,19,outshift,0,false,85,66,150,0111100001110101000101000001001110000000110001010011100111110000110101110100100101010001010000001101001100010001100110100101101011010100000101101001011110110100011111000110110111101110100110000010110111101100100101110010011111011001001101100110011100110101100111001101000010011110101111101000111110100
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,20,outshift,1,true,76,82,150,1010100001010101100000111110100011101100100111111000111110011100010110101011011000100110100100000111100010010111110100100101000110010111000110001111011010000010101001011100011100000101111010111111100100001001000110100111110001111000101010001110111101001111101101111101011101100011011010010100101111110
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,21,outshift,1,true,76,73,150,1011110100110010000110000010110001011100011010000001000000000000011101111111111000001001111111011111110010111001101111011111100011010110010010011001100110100001001010100000000001011000101100011111011010011110110000110100011000110110001111000101111110001001000010010101011111011100001111101001100111001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,22,lfdr,1,true,79,60,150,1001111011001110001010011111101110010111000110110011101101110101101001100011001011111110010001110010000000100100000111011111111100100100101110000010100000000001111000100101101001011111001000100010101110100010001011100011001100000000010001100010100000000110010011010010011010000000010110111100111000111
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,23,lfdr,1,true,72,81,150,1001011110010100101001111000000111011000010110101001110110100010001011110011000101000110011110101110001110000000101110110011000111011101110000000001011000111100101101001111111011001011010000011101010111111010001011001010000000011111111111110101001001110000001011110111010110100110101011100010110001010
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,24,outshift,1,true,85,78,150,1111010000010111111010101011001100001110001001001110000001011111101101010010101110111111011111101111101001000011111010000111111010010111110000011011001010100101110101101000101101010111010110010101000001011110011111110110100111110100010110110101011111100000000011010110111110100000011100100000100011110
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,25,lfdr,0,false,82,80,150,0010110001011011011001111100111111110011101001111101010101111101010100100011111110010101000110001011101110111100110101001101100011001000100000000000010111101011000011000111110101011011000101001100010100000111010011101101011110001111101010111111001111001001110001010111110111000000010011010100111101001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,26,outshift,0,false,81,68,150,0010101110000010010000101101000010111110011000101110000100001101111100100110001110101101110010001001000100111100010100100110011111010100001101010100000010101110111001010010001010011001010111101100101111101100000100110111111001111101011101011011101000011011001110110010101101011100011100000100110100100
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,27,lfdr,0,false,75,91,150,0111010011101011010001111011110111110101101101010111010111111111101101110101010001001001111100011111101100100101010010010010100011000111111101100101011111100100111110011100010111110000010010110100101110101000100011101110001010000100111000000100110011000100000000111110110001111001001001100011111111111
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,28,outshift,1,true,67,76,150,1001101111000001000111010111011101101010010001000110000101101110110110100011000010000111011111000110001011000101011100010000001110000010100001001100010101001001010101000110000111100101100011100001111000010011000101001001101010101111011110010100110111101110110000101110110101110010111010011000110010001
pv_1787204106416_db53ff,2026-08-20T05:35:06.416Z,29,lfdr,0,false,72,71,150,0000011010110100100000010101101110101111010000101100100010010110011000011100110001111000011011100110011111010100011001100010010111010000001010101110011110110001010001001000001001001111100101110110100111001010101000001000101100001111011111110110001101111111000001010000000001010011111000101111000110001
pv_1787208919049_85e7a5,2026-08-20T06:55:19.049Z,0,lfdr,1,true,86,74,150,1010010010110010111101011011010111100011000001101010001110110100011001010111010001011001001010111010010110011010010000000001010000100000100101000000100001000110110010101101110111110111100010011001111100010100100100100101000101101000101011100101101001001001001111100011011001001011011100010001111010110
pv_1787208919049_85e7a5,2026-08-20T06:55:19.049Z,1,lfdr,0,false,65,70,150,0111010000100100110101110001000100111000011100000111111111111001011101111011110110110000001000110011001011011110011011101110111010001100101011100100000101011010111011111010110001001111110101110001010011110100010001011110110100110111011001010111110111101010100100011110011001111010000001110010110110100
pv_1787208919049_85e7a5,2026-08-20T06:55:19.049Z,2,lfdr,0,false,80,67,150,0010011010011011101111101011011001110011000010010101111001100001010101110111101001110111100000101010001111010101100110111110010101010111100001010110110000000010011010000110110111010010100011011001010110101011110100101101101010110010010001111011000111110100100010000110101101000011010101010010000100101
pv_1787208919049_85e7a5,2026-08-20T06:55:19.049Z,3,lfdr,0,false,90,76,150,0000000110000101010001101110101100001100101010011001001011001110110100001000010111111111101010101110111001000101101110010101110010111110101010001100000110010000010110011000001101010001000010100000000100110010101001011001100000101000010000110011101000100001000000111111011100011001111100001001100101101
